news,label,value
ronald reagan banned ownership of fully automatic rifles he supported the assault weaspons ban,half-true,1
says joe biden has issued more executive fiats than anyone in such a short period of time ever more than obama more than trump more than anyone,true,1
says a coronavirus patent expired just as there is a sudden outbreak and despite media fearmongering there is already a vaccine available,pants-fire,0
black americans still earn less than 73 percent of what white men make,half-true,1
theyre paying a less rate of tax  these richest people in america  than they have in the last 80 years,mostly-true,1
today president obama said there will not be a national day of prayer in may,pants-fire,0
we have become an energy exporter for the first time ever just recently,false,0
ninety percent of people living in gaza dont have access even to water,mostly-true,1
we cut a record $15 billion from our state budget,half-true,1
congress can tell the supreme court which cases they ought to hear we have that authority,true,1
over the next two years this $18 billion deficit will cost individual wisconsinites $300 each or $1200 for families of four,false,0
scott walker couldnt get his own party to back more than a 500student increase in milwaukees school choice program but in indiana mitch daniels voucher program is approaching 30000 students two years after opening,half-true,1
the minimum wage in real terms right now is below where it was when harry truman was in office,half-true,1
us unemployment among people ages 16 to 24 is 184 percent which is a 60year high,mostly-true,1
says india gained jobs thanks to romney,half-true,1
state legislators quietly shifted $2 billion from education to road building in 2013,false,0
40 years of research and no vaccine for hiv at least 100 years of research and no vaccine for cancer ongoing research and no vaccine for the common cold now in less than a year theres a vaccine for covid19,barely-true,0
says david jolly lobbied on a plan by rep paul ryan that would turn medicare into a voucher program,half-true,1
saysgary johnson and the libertarian party want to get rid of the public school system,half-true,1
millionaires are eligible for food stamps but donald trump came along and decided to put a stop to it,true,1
in milwaukee county juveniles arrested for car theft get sent immediately home because under the point system in juvenile court on holding suspects a stolen car gets zero points,barely-true,0
people of color and those of not they use marijuana at the same rate people of color are three times more likely to get arrested and convicted,true,1
says hillary clinton wanted the wall,half-true,1
says 80 journalists have been killed in mexico in the last decade,half-true,1
more businesses are closing than opening in virginia today,false,0
says mitt romney put planned parenthood on a state medical board but failed to put a prolife group on the same board,half-true,1
president barack obama put in place historic fuel efficiency standards for cars and trucks to lower costs at the pump and reduce dependence on foreign oil,half-true,1
the auditor for the city of providence was not locked out of access to the citys finances,barely-true,0
says joe biden leaked the names of seal team 6s families to alqaida and that he cannot be trusted,false,0
one of the reasons i believe were in trouble in yemen is we lost the population on drone strikes issues thats what stirred up the population thats what is happening in yemen,half-true,1
says richard cordrays plan would allow drug dealers to remain on our streets,false,0
im the only candidate in the democratic primary or actually on either side who wall street financiers and hedge fund managers are actually running ads against,pants-fire,0
says an election clerk in green bay refused to allow early voting on the uwgreen bay campus because she was afraid it would help democrats showing outrageous partisan bias,half-true,1
will hb2threaten federal funding for public schools under title ix no according to a federal court which has looked at a similar issue,half-true,1
says a photo of a park covered in trash was left behind by environmentalists after an earth day celebration in california,false,0
obamacare is going to increase the divorce rate,false,0
this is longest that the nation has gone without a secretary of the treasury at least in modern times if its not the longest its darn close to it,false,0
six states cant get the votes counted six states in which realdonaldtrump is leading six states where dems are in charge,false,0
says joe biden executive orders caused price increases of 50 cents in gas and 10 in food,false,0
says theres up to 75 reduction in opioid dosage for medical cannabis users,mostly-true,1
we need a senator who shows up to work sherrod brown missed over 350 official votes,barely-true,0
the wisconsin unemployment rate was higher than the us rate during only three months when mary burke was state commerce secretary,false,0
hunters contribute more than $500 million to west virginia,mostly-true,1
according to the congressional budget office as many as 20 million americans could lose their employerbased insurance thanks to obamacare,half-true,1
the 2000 census cost $45 billion the 2010 census is set to cost up to $145 billion,half-true,1
the top25 hedge fund managers are making more than all of americas kindergarten teachers combined,true,1
says president barack obamas finance team is recommending a 1 tax on all transactions at any financial institution,pants-fire,0
america was the only country that ended slavery,false,0
six justices on the us supreme court have been confirmed in presidential election years since 1912 ,true,1
austin is number one in texas in startups venture capital and patents,true,1
the tampa bay rays prices have been judged the most affordable in all of professional sports,mostly-true,1
the steel industry is producing as much steel in the united states as it ever was its just that it needs onetenth of the workers that it used to,false,0
wisconsin state and local government workers pay $500 $600 or in some cases $1000 per year in union dues,mostly-true,1
says jon corzine gave away 14 percent raises over 4 years and he stood on the front steps of the capitol at a publicsector union rally and said i will fight to get you a great contract,mostly-true,1
president obama budget request for veterans ismore than double the amount in constant dollars appropriated in 1980 when the veterans population was larger by a third,true,1
says if you try to hide marijuana in a hemp field it becomes worthless the thc goes away,mostly-true,1
not even old gen eisenhower â¦ saluted military personnel as president,barely-true,0
says tim kaine actually tried to raise taxes by about $4 billion,mostly-true,1
people havent had a raise  90 percent of americans have not had a raise for 40 years,half-true,1
in 2017 the ceo of mcdonalds got paid $218 million the median pay for a mcdonalds worker that year was $7000 this is a moral outrage we need a $15 minimum wage so that no one is paid a poverty wage,barely-true,0
the founders of new hampshire came up with the motto live free or die,false,0
not a single banker a ceo from wall street anyone from corporate america â nobody there was not one arrest of any of these people who brought down the economy in 2008,mostly-true,1
president obama himself attempted to filibuster justice alito who now sits on the supreme court,true,1
cnn says dick cheney will be advising biden on foreign policy,false,0
jeff atwaters bank was so weak that just a few months ago it was shut down by the fdic,half-true,1
when it comes to transportation funds georgians spend more in taxes and on red tape than they get back from the federal government,half-true,1
obama has admitted a cap and trade plan would cause electricity bills to skyrocket,true,1
our county now has the fastest growing airport in america attracting nearly 1000 new private sector jobs,half-true,1
rogue michigan official sent absentee ballots to 77 million people illegally and without authorization ahead of the primaries and general election,pants-fire,0
says exxonmobil fought to kill a rule requiring oil and mining companies to disclose payments made to foreign governments,true,1
14000 abandoned wind turbines litter the united states,pants-fire,0
says sasha obamas racist antiwhite rant just got her expelled,pants-fire,0
very few men outlive their own fertility,half-true,1
says sen gary peters dmich is known for doing nothing â¦ peters skipped 84 of small business hearings and skipped 89 of hearings on china,barely-true,0
i dont think its been proven that the game of football causes cte,half-true,1
mark harris has said he would cut social security and medicare,half-true,1
the obama administration agreed to take thousands of illegal immigrants from australia,half-true,1
the united states has a record number of abortions year after year after year,false,0
gov romney himself with 28 other republican governors supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever,false,0
police training in wisconsin is 21 weeks a cosmetology license takes 40 weeks,half-true,1
i have the no 1 show on nbc,half-true,1
constituents now face reality that all their personal issues will be made public under clean missouri,barely-true,0
i committed to public financing obama committed to public financing,mostly-true,1
says us sen ron johnson wants to put 100000 troops including 25000 americans into the area where isis is,half-true,1
austin energy is considering its first rate increase since 1994,mostly-true,1
says doug jones has voted to spend our tax dollars on lateterm abortions and supports abortion up until birth,false,0
congress gave an unelected board the power to deny care to seniors,half-true,1
says the human rights campaign is secretly funded,barely-true,0
says the city of portland alone has 84 public relation representatives on payroll which cost taxpayers over $62 million a year,false,0
under the cromnibus law taxpayers must guarantee incredibly risky derivatives deals made by the nations largest banks,half-true,1
im in prison for practicing politics,pants-fire,0
nobodys addicted to marijuana,false,0
the american people are overwhelmingly with us in calling witnessesin senate trial,true,1
it took the legislature nearly 300 days to act on a covid19 bill during this pandemic,half-true,1
in new york average college debt  $30000 per student,true,1
says hillary clinton makes more per hour at a speaking gig than the average ceo does in a year,barely-true,0
in 2016 there were 5570 people in wisconsin who committed crimes on probation and they were not revoked,half-true,1
the republicans still want to privatize social security in fact their whole idea is to turn over the social security trust fund to wall street,barely-true,0
the presidents party always gets shellacked in midterms its only twice 1934 and 2002 that the presidents party actually gained in both the house and the senate,mostly-true,1
the state of florida has seen doubledigit drops in alcohol use among teens,mostly-true,1
you may not have stayed in a hotel in the past year but illegals arriving since bidens inauguration they get to stay free of charge,barely-true,0
says gina raimondos venture capital firm secured a secret nobid contract funded by taxpayers,barely-true,0
says scott walker is forcing some women to undergo a transvaginal probe to get an abortion,half-true,1
says 2267 caravan invaders have tuberculosis hiv chickenpox and other health issues,barely-true,0
we maintain this missouri highway system with one of the lowest levels of funding in the country,true,1
over 3 million americans are employed in the growing greencollar workforce which is more than the number of people working in the fossil fuel industry,true,1
trumps farmer bailout is now twice the size of obamas gm bailout the big difference is gm paid their bailout back â with interest,barely-true,0
the us representatives that voted to keep militarizing the police received 73 percent more campaign money from the defense industry than the representatives who voted to stop it,mostly-true,1
says rabid animals from other states carry different strains of rabies that florida vaccines and serums dont affect,false,0
says ammar campanajjar is working to infiltrate congress and is being supported by cair and the muslim brotherhood,pants-fire,0
fact the special assistant in johnkasichs office makes over three times more than an average oh firefighter,mostly-true,1
our national debt is as low as it has been since world war ii,false,0
says hillary clinton isunder investigation with the fbi right now,half-true,1
says that president obama said if congress passed the economic stimulus bill we would have unemployment at 8 percent and no higher and it went higher,barely-true,0
says a 2007 immigration bill was opposed by the league of united latin american citizens the largest latino organization in america the southern poverty law center called its guestworker programs akin to slavery â¦ and you know who voted with me on that one joe barack obama,half-true,1
the atlanta streetcar is expected to create 930 jobs during construction totaling more than 5600 jobs over the next 20 years,pants-fire,0
rhode islands teen binge drinking rate is double the national average,false,0
the national economic recovery has led to higher than expected tax revenues and projected budget surpluses in nearly every state in the nation including wisconsin,true,1
schools are trying to make a law that teachers can see girls private parts to make sure theyre not trans,barely-true,0
says milwaukee police were protecting a sex offenders house and snuck children out of it after a mother tracked her missing daughter to that address,false,0
congress has cut funding has slashed funding for veterans benefits over these last years,false,0
fox admits they lie and under the first amendment have the right to lie or deliberately distort news reports on public airwaves ,false,0
were paying outofstate residential facilities hundreds of thousands of dollars if not more to house children in state custody,mostly-true,1
when i came into office the prior administration had contracted for not nearly enough vaccine to cover adults in america,barely-true,0
its against the law in texas to let any loaded gun get in the hands of a child,true,1
says richard burr was one of only three senators who voted against a ban on insider trading for members of congress and he called that vote brave,true,1
a law was passed apparently in the clinton administration about whether in recruiting offices â¦ marines or other military should be able to have guns apparently it is prohibited,barely-true,0
this independent payment advisory board board can ration care and deny certain medicare treatments so washington can fund more wasteful spending,pants-fire,0
kamala harris tried to put prolifers in jail who exposed planned parenthood selling baby parts,false,0
the photonics bill that was sponsored in congress and written was written by congressman tom reed not congresswoman louise slaughter,false,0
the majority of georgians incarcerated in local jails have never been convicted of crime they are simply too poor to pay their bail,half-true,1
we have only one person on the tva board to my knowledge who even has any corporate board experience,mostly-true,1
wisconsin is not a high tax and fee state when you look at all the money state and local governments bring in from residents were more in the middle,half-true,1
we have the highest graduation rate of basketball players in the history of the ncaa we have the highest graduation rate of africanamerican basketball players in the history of the ncaa in basketball,barely-true,0
video footage from georgia shows suitcases filled with ballots pulled from under a table and illegally counted after election observers were told to leave,false,0
there is $50 billion a year wasted in the medicare program,mostly-true,1
the national technical information service spends millions of taxpayer dollars to print and sell government documents that are available free in online searches,mostly-true,1
until the new iran deal china and russia have never voted with us at the un on any sanctions on iran in the past,pants-fire,0
republicans have no way to communicate after tech companies cut off parler,false,0
says he represents or has represented about half the san antoniorooted district in which he seeks election,mostly-true,1
more money is dedicated within the department of homeland security to climate change than whats spent combating islamist terrorists radicalizing over the internet in the united states of america,mostly-true,1
so the number on daca is 800000 but every one person can bring in their entire extended family once they reach a certain status so its 3 or 4 million right,false,0
there is a growing body of evidence that radiation in excess of what the government says are the minimum amounts you should be exposed to are actually good for you and reduce cases of cancer,barely-true,0
crimea was part of russia until 1954 when it was given to the soviet republic of the ukraine,true,1
social security was advocated â¦ in the 1930s as a way of getting people to quit working because they thought we were confined to a permanent scarcity of jobs in this country,barely-true,0
says he was instrumental to passing two recent pieces of legislation that were a huge victory for firefighters across the state,barely-true,0
common welfare programs give income of $43330 or $2083 an hour,barely-true,0
james is the only senate candidate in a battleground state who has refused to take a position on whether the senate should promptly vote on trumps supreme court nominee,mostly-true,1
says joe garcia voted to raise our utility rates,half-true,1
the coast guard confiscated 200 tons of contraband heroin and so forth at the border they collected 20 tons,half-true,1
president barack obama met with iranian president hassan rouhani,pants-fire,0
if we keep the minimum wage at the current level then singleparent families earning the minimum wage at a fulltime job will live in poverty in new jersey,true,1
in a few months this deal would give iran $150 billion for its $300 billion to $400 billion economy which is like $8 trillion flowing into the united states treasury,barely-true,0
an image shows what appears to be an official ballot box being taken away from a polling location by an unidentified civilian,false,0
your congressman charlie bass took over $166000 from big oil,barely-true,0
america is no 1one in oil and gas ,true,1
says exlt gov evelyn sanguinetti publicly did not stand in opposition to former gov bruce rauners decision to sign a bill that expanded the public funding of abortions in illinois,false,0
says hillary clinton wants to increase syrian refugees to this country by 550 percent,true,1
we rank below ethiopia im told in terms of our exports per capita well below any of the other developed countries we trade with and well below china and south korea,half-true,1
christmas trees are grown in all 50 states,true,1
wages adjusted for inflation havent risen since the turn of the last century,half-true,1
the pension fund in the city of providence is only 30 percent funded about the same level as when he taveras took office,mostly-true,1
there is a provision in the economic stimulus plan that means that students cannot meet together in their dorms if that dorm has been repaired with this federal money and have a prayer group or a bible study,false,0
ice arrests la mayor for harboring fugitives through sanctuary city,pants-fire,0
sen arlen specters party switch could end up giving republicans the ability to filibuster judicial nominees at the judiciary committee level so that the nominees never get out of committee,mostly-true,1
congresswoman frederica wilson successfully postpones closure of the north perry airport tower,barely-true,0
district attorneys have advertised that they will charge a criminal alien with a lesser offense than presumably they would charge a united states citizen so they wont be deported,half-true,1
trumps star on the hollywood walk of fame has been destroyed,false,0
994 of businesses in wisconsin are small businesses and they employ nearly half of our workforce,true,1
since president obama took full control of washington every day 13000 more people have been put on food stamps,half-true,1
a sign in dearborn mich for the advancement of islamic agenda for america says allah be praised america we will kill you all and nothing you can do to stop it,pants-fire,0
the taliban went after and murdered people identified in the chelsea manning leaks,barely-true,0
the cdc may have to stop calling covid19 an epidemic due to a remarkably low death rate,false,0
bill mccollum backed jim greers effort to hide financial irregularities,false,0
in the senate mike dewine voted with hillary clinton to let illegal immigrants receive social security and in ohio dewine allowed illegal immigrants to receive drivers licenses,barely-true,0
because of my policies black unemployment has just been reported to be at the lowest rate ever recorded,half-true,1
america has more people employed as tax preparers 12 million than as police and firefighters,false,0
eighty percent of all us communities depend solely on trucks to deliver and supply the products sold in stores or ordered online,mostly-true,1
amendment 2 will bring kidfriendly pot candy to florida,half-true,1
every year the average woman loses around $11000 to the wage gap which amounts to a $500000 vagina tax over her working career,half-true,1
ninety percent of people born in the 1940s ended up doing better financially than their parents but those born in the 1980s the muchmaligned millennials have only a 5050 chance of doing better financially than their parents despite being the besteducated generation in our history,true,1
says mike pence was arrested,false,0
it is legal in ohio to fire an employee or evict a tenant just for being gay,true,1
we had the highest number of military sexual assaults ever reported in the last year and we had the lowest conviction rate and the lowest prosecution rate,mostly-true,1
says gov rick perrys administration has proposed ending immunizations for 113000 kids,barely-true,0
says former sen rick santorum said sometimes pregnancy is gods way of comforting rape victims ,false,0
we know from the social science that children do best with a mom and a dad,false,0
my administration iswell represented both racially ethnically and genderwise,barely-true,0
florida passed a law where former felons can now vote weve had more exfelons register as republicans than democrats,barely-true,0
texas has outstripped the national poverty rate since at least 1959,mostly-true,1
universal background checks involve asking people to submit the serial numbers to their guns to a state or federal official and that violates the second amendment,barely-true,0
the average state pension including managers is $23000 a year and just $14000 for local government workers,half-true,1
california taxes are among the highest in the nation,mostly-true,1
the proportion of rhode islanders entering substance abuse treatment primarily due to marijuana use has reached its highest point in 20 years,false,0
in wisconsin a second arrest for carrying pot is a felony but a second or subsequent arrest for carrying a gun illegally is a misdemeanor,mostly-true,1
taxpayers are paying a fortune for the use of air force one on the campaign trail by president barack obama and hillary clinton,mostly-true,1
the states that have raised the minimum wage this year have had faster job growth than the states that havent raised the minimum wage,half-true,1
the obama administration is suing a wisconsin company for forcing employees to speak english,barely-true,0
says joe biden will redirect the $30 billion that donald trump left for us farmers to climate change,barely-true,0
says of mitch mcconnellwhat can happen in 30 years a senator can become a multimillionaire in public office,barely-true,0
higher education is one of americas strongest export sectors over 1 million international students studied at american universities in the 201819 school year they contributed over $40 billion to the economy,true,1
the us doesnt make television sets anymore,true,1
says mitt romneys investments created zero jobs,pants-fire,0
says of donald trump he even said on his very first day in office he would require every school in america to let people carry guns into our classrooms,true,1
over 40 percent of africanamerican men in milwaukee county have been going to prison for lowlevel drug offenses and i think a hundred times that in the city of madison,false,0
under current law if you go on a dating website and you say youre 32 and youre actually 42 youve committed a misdemeanor,true,1
its warmer on mars than it is in parts of the united states and canada during the polar vortex,barely-true,0
says rick scott thinks employers should be able to deny women coverage for birth control,mostly-true,1
ripta has really some of the fullest buses for its transit agency size around the country,mostly-true,1
on key issues including taxes health care the green new deal abortion and guns there is no daylight between bernie sanders and joe biden,half-true,1
a chinese proverb says those who say it can not be done should not interrupt those doing it,false,0
chicago public schools lead the country in high school graduation of an urban school system match the united states of america in kids graduating high school going on to a fouryear college and are producing eighthgrade leaders in the country in math gains fourthgrade leaders in reading gains,mostly-true,1
the trump administration put secret watermarks on official ballots to trick cheating democrats,pants-fire,0
huge results from breaking chloroquine study show 100 cure rate for patients infected with the coronavirus,false,0
says tom nelson backed higher taxes on social security costing wisconsin seniors $95 million,false,0
more tennesseans have hunting and fishing licenses than vote,false,0
the city of austin is dedicating more than $20000 per homeless person in austin,half-true,1
according to a recent cdc report almost everyone â 85 â who got the coronavirus in july was wearing a mask and they were infected anyway so clearly wearing a mask doesnt work the way they tell us it works,false,0
putin has stated russian citizens have 2 options stay home for 15 days or in jail for 5 years,false,0
the obama administration has been constrained by the oil pollution act of 1990 which basically gives the responsible party the lead role in trying to not only fix the problem but contain the problem,false,0
says joe heck voted to shut down the government,half-true,1
more businesses are closing than opening in virginia today,false,0
federal officials declared that grant funds could be used only for milwaukees streetcar project meaning it isnt possible to redirect the money to other modes of public transportation or to our public schools,true,1
half of all hospitalized seniors are suffering from malnutrition so severe that it either caused their illness or it prevents them from getting better,barely-true,0
says michelle obama has 43 people on her staff nancy reagan had just 3,pants-fire,0
we have right now â¦ in the state of california 55 percent of all immigrants are on public assistance,half-true,1
the nuclear agreement with iran never sunsets theres no sunset in this agreement,half-true,1
we have 10000 baby boomers retiring every day,true,1
says gerald daugherty is endorsed by the austin americanstatesman,false,0
says theres no proven instance where hydraulic fracking has polluted groundwater,mostly-true,1
says obama refuses to recognize jerusalem as the capital of israel,half-true,1
the house health care bill provides for free abortion services and probably forced participation in abortions by members of the medical profession,false,0
between 1980 and 2010 water usage in georgia dropped even as the states population grew,true,1
says former nba player rick fox was also on board with kobe bryant,false,0
says that several times in the last 15 years austin city council candidates have won seats after trailing by more than 4000 votes in the election prompting the runoff,half-true,1
says one in four women and one in seven men have been victims of domestic violence in their lifetime,true,1
if you make more than $250000 a year â¦ you only really take home about $125000,false,0
the mobilization of the military in response to the storms in puerto rico and the us virgin islands is the largest ever mobilization of our military in a naval and marine operation and an air force carrier there was the firstever as well,barely-true,0
the texas leg of the keystone pipeline has already created 4800 jobs in just the year its been up and running,false,0
says donald trump has outlined policies that read like a kremlin wish list,mostly-true,1
there is a big correlation between third grade reading level and whether you go to college or whether you go to prison and in florida right now only 56 percent of kids are coming out of third grade at third grade reading level,mostly-true,1
were the only system of federalism in the world,false,0
christian pastor in vermont sentenced to one year in prison after refusing to marry gay couple,pants-fire,0
says the washington times ran a frontpage headline that said president gore,false,0
says that president obama said in 2008 that his proposed greenhouse gas regulations will bankrupt anyone who wants to build a new coalfired power plant,mostly-true,1
we have flown a boeing 737 across the atlantic ocean on biofuels we have flown f18s,mostly-true,1
a major part of the climate change bill sponsored by sens john kerry and joe lieberman was essentially written by bp,false,0
more than 15000 transgender americans are serving in the military today,half-true,1
for the first time in 13 years our dependence on foreign oil is below 50 percent,half-true,1
says troy nehls called wearing masks unamerican and called those who do communists,false,0
we spend less than 2 percent more every year that is the lowest increase in spending since they have been keeping numbers,true,1
says reps rush holt frank pallone and bill pascrell are willing to jeopardize seniors access to coverage by gutting $741 billion from medicare to pay for a biggovernment healthcare takeover,pants-fire,0
not one penny of californias prop 67 bag ban tax goes to the environment,half-true,1
every single swingseat house democrat who endorsed medicareforall won reelection or is on track to win reelection every single one,mostly-true,1
every president has raised the debt ceiling,mostly-true,1
the national rifle association was founded by religious leaders who wanted to protect freed slaves from the ku klux klan,pants-fire,0
i recently had the opportunity to vote to give the president limited authority to begin strikes against terrorists in iraq and syria,false,0
rick scott has paid down our debt by about $2 billion charlie crists debt went up about $5 billion,half-true,1
even among second and third generation muslims in the united states theres no real assimilation,false,0
when was the last time you saw a chevrolet in japan it doesnt exist folks,barely-true,0
a college loan is the only loan in the united states that you cannot refinance when interest rates go down ,mostly-true,1
diseaseridden migrants from parts of africa with ebola are being dumped in san antonio,false,0
says nancy pelosi made millions in coronavirus insider trading,false,0
theres more african american males in the penal system right now than there were enslaved at the height of slavery,mostly-true,1
george floyds murder filmed before covid19,pants-fire,0
says saudi arabia a us ally has paid to export throughout the world wahhabism  an extreme form of islam that basically teaches americans are the devil,mostly-true,1
assertions that it makes no difference whether children are raised by heterosexual or homosexual parents have been shattered by the latest and best social science and research,false,0
in certain swing states there were more votes than people who voted and in big numbers,pants-fire,0
photo shows tampa mayor jane castor maskless at super bowl,false,0
bloomberg spent $500 million on ads the us population is 327 million he could have given each american $1 million and still have money left over,pants-fire,0
last year 244 suspected terrorists walked into gun shops and attempted to purchase a firearm 223 were able to get the firearm,mostly-true,1
says rick scott thinks employers should be able to deny women coverage for birth control,mostly-true,1
china now owns $11 trillion of our debt our trade deficit last year with them was a quarter of a trillion dollars,true,1
virtually no republican in washington accepts climate change science,mostly-true,1
if you go back you can see wayne lapierre who runs the nra testifying in front of congress in favor of background checks 15 or 20 years ago,true,1
a shocking 20 veterans are committing suicide each and every day especially our older veterans,true,1
under emanuel cps has become the most understaffed school district in illinois,true,1
we have reached our goal to clear the backlog of unemployment claims,half-true,1
in 2011 the average annual compensation for a teacher in the milwaukee public schools system will exceed $100000,true,1
recently rick scott closed 30 womens health care centers across the state,pants-fire,0
says george floyd has hair in one shot but is bald in the shots of him laying on the ground,pants-fire,0
the auto companies have now repaid taxpayers every dime and more of what my administration invested in,barely-true,0
we had a threehour debate no discussion about the national debt very little about the economy,mostly-true,1
isis is going to people showing videos of donald trump insulting islam and muslims in order to recruit more radical jihadists,false,0
saysrex tillerson wont divest from exxon,pants-fire,0
says that rick santorum voted for the unions over fedex,half-true,1
says the texas department of agriculture didnt notify over 700 texas students about a computer hack releasing critical personal information including social security numbers until 32 days after the breach,barely-true,0
new york has passed the best paid family leave program in the united states of america,true,1
bikers show up to the walter reed hospital to pray for president trump,false,0
says beto orourke has a criminal record that includes dwi and burglary arrests,true,1
biden signs 45 capital gains tax kiss your inheritance goodbye,false,0
we havent yet taken out a negative ad,pants-fire,0
our debt is already bigger than our economy,half-true,1
i am still waiting for someone to produce pieces of the alleged plane that caused the twin towers to collapse,pants-fire,0
red trees are significant to the early christian church in eastern europe the church would dye the trees red to symbolize the blood of jesus  the resurrection,false,0
latinos are 17 percent of our countrys population but hold only 2 percent of its wealth,true,1
there is no discernible difference between the spread and deaths of covid in virginia than there is in florida,false,0
the american military has been completely rebuilt under my administration at a cost of $25 trillion,barely-true,0
the day al gore was born there were 130000 glaciers on earth today only 130000 remain,false,0
